State,Total murders,Handguns,Rifles,Shotguns
Alabama,2,1,0,1
Alaska,15,12,2,1
Arizona,135,128,4,3
Arkansas,65,51,10,4
California,922,855,34,33
Colorado,83,65,12,6
Connecticut,31,29,0,2
Delaware,26,26,0,0
District of Columbia,66,65,1,0
Georgia,420,394,16,10
Hawaii,2,1,1,0
Idaho,21,17,4,0
Illinois,434,431,2,1
Indiana,161,147,9,5
Iowa,33,31,0,2
Kansas,59,51,4,4
Kentucky,101,91,1,9
Louisiana,223,207,7,9
Maine,15,15,0,0
Maryland,272,266,3,3
Massachusetts,34,33,1,0
Michigan,168,148,10,10
Minnesota,62,47,6,9
Mississippi,110,102,3,5
Missouri,256,233,12,11
Montana,13,13,0,0
Nebraska,43,41,1,1
Nevada,19,17,1,1
New Hampshire,4,4,0,0
New Jersey,203,200,3,0
New Mexico,17,14,1,2
New York,337,331,1,5
North Carolina,266,235,10,21
North Dakota,5,5,0,0
Ohio,203,184,12,7
Oklahoma,130,113,8,9
Oregon,23,17,1,5
Pennsylvania,407,386,10,11
Rhode Island,4,3,0,1
South Carolina,218,201,7,10
South Dakota,11,5,1,5
Tennessee,224,204,13,7
Texas,665,610,19,36
Utah,28,26,2,0
Vermont,6,2,4,0
Virginia,161,148,6,7
Washington,92,84,3,5
West Virginia,21,19,1,1
Wisconsin,131,122,5,4
Wyoming,7,4,0,3
Guam,1,1,0,0
U.S. Virgin Islands,13,12,1,0
